,General information,,,Road traffic deaths,,,,Road user death (%),,,,,VEHICLE STANDARDS,,,,,,,,,,,,,,,National drink driving law,Based on BAC / BrAC,% road traffic deaths involving alcohol,National maximum legal BAC levels (g/dl),,,Motorcycle helmet law,,,,,,,Children passengers on motorcycles   ,,,number of registered vehicles,National mobile phone law,Mobile phone law ,,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,National speed limit law,Maximum default speed limits (km/h),,,Provider training and certification ,,,
Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,Modelled number of road traffic deathsd,,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users,,,,,,,,,Child restraint systems law,"National seat
belt law",Seat-belt wearing rates (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prehospital providers,Nurses,Specialist doctors,
,,,,,Point estimate,95% Confidence Interval,,,,,,,Seat-belts,Seat-belt anchorages,Frontal impact,Side impact, Electronic stability control,Pedestrian protection,Child seats,Motorcycle anti-lock bracking system,National child restraint law,,Drivers only ,, Front-seat occupants,Rear-seat occupants,All occupants,,,,General population , Young / novice drivers,Professional / commercial drivers,National motorcycle helmet law,Applies to driver,"Applies to adult
passengers",Applies to all roads,Applies to all engines,Helmet fastening required,Standard referred to and / or specified,,,,,,Applies to hand-held phone use,Applies to hands-free phone use,Point estimate,95% Confidence Interval,,,urban,rural,motorways,Formal certification pathway,Post graduate courses in emergency and trauma care,Emergency medicine ,Trauma surgery
Afghanistan,34656032,580,Low,1565,5230,4502 - 5958,15.1,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,No,–,—,—,—,No,—,—,—,—,—,—,Not restricted,,,655357,No,−,−,5230,4502 - 5958,15.1,Yes,90,90,90,No,No,Yes,Yes
Albania,2926348,4250,Middle,269,399,369 - 428,13.6,39.4,11.9,7.8,38.7,2.2,No,No,No,No,No,No,No,No,Yes,Yes,95,,85.0,80.0,87.0,Yes,Yes,5.2,≤0.05,≤0.05,≤0.05,Yes,Yes,Yes,Yes,Yes,No,Yes,Not restricted,,,563106,Yes,Yes,No,399,369 - 428,13.6,Yes,40,80,110,Yes,Yes,Yes,No
Angola,28813464,3440,Middle,2845,6797,5304 - 8289,23.6,59.5,0,0,40.5,0,No,No,No,No,No,No,No,No,Yes,Yes,60,,40.0,10.0,65.0,Yes,Yes,–,≤ 0.06,≤ 0.06,≤ 0.06,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 7 yrs,,,0,Yes,Yes,No,6797,5304 - 8289,23.6,Yes,60,90,120,Yes,Yes,Yes,Yes
Antigua and Barbuda,100963,13400,High,8,8, - ,7.9,62.5,0,12.5,25,0,No,No,No,No,No,No,No,No,No,No,0,,0,0,0,Yes,No,0.9,—,—,—,No,—,—,—,—,—,—,Not restricted,,,36030,No,−,−,8, - ,7.9,Yes,32,64,No,No,No,No,No
Argentina,43847432,11960,Middle,5530,6119, - ,14,47.2,22.2,2.4,8.2,20,Yes,Yes,Yes,Yes,No1,No,No,No,Yes,Yes,50.2,,40.8,23.1,43.6,Yes,Yes,17,≤0.05,≤0.05,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not restricted,,,21633587 ,Yes,Yes,Yes,6119, - ,14,Yes,60,110,130,-,-,-,-
Armenia,2924816,3760,Middle,267,499,469 - 530,17.1,59.6,1.5,0.4,34.8,3.7,No,No,No,No,No,No,No,No,No,Yes,70,,70.0,0.0,0.0,Yes,Yes,1.9,≤0.04,≤0.04,≤0.04,Yes,Yes,Yes,Yes,Yes,Yes,No,Prohibited under 12 yrs,,,0,Yes,Yes,No,499,469 - 530,17.1,Yes,90,90,110,Yes,Yes,Yes,Yes
Australia,24125848,54420,High,1296,1351, - ,5.6,60.9,19.3,2.2,14,3.5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,0,,97.0,96.0,0.0,Yes,Yes,17,< 0.05,0.00,0.00,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Prohibited under 8 yrs,,,18326236 ,Yes,Yes,No,1351, - ,5.6,Yes,50,100 - 130,100 - 130 ,Yes,Yes,Yes,No
Austria,8712137,45230,High,432,452, - ,5.2,43.8,22,11.1,16.9,6.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,95,,95.0,93.0,0.0,Yes,Yes,5.1,<0.05,<0.01,<0.01,Yes,Yes,Yes,Yes,Yes,No,Yes,Prohibited under 12 yrs,,,7421647,Yes,Yes,No,452, - ,5.2,Yes,50,100,130,Yes,No,Yes,Yes
