"","","Applicability of national motorcycle helmet law to all occupants","Applicability of national motorcycle helmet law to all occupants","Applicability of national motorcycle helmet law to all occupants"
"Country","Year"," Drivers"," Adult passengers"," Child passengers"
"Afghanistan"," 2017","—","—","Not restricted"
"Albania"," 2017","Yes","Yes","Not restricted"
"Angola"," 2017","Yes","Yes","Prohibited under 7 yrs"
"Antigua and Barbuda"," 2017","—","—","Not restricted"
"Argentina"," 2017","Yes","Yes","Not restricted"
"Armenia"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Australia"," 2017","Yes","Yes","Prohibited under 8 yrs"
"Austria"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Azerbaijan"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Bangladesh"," 2017","Yes","Yes","Not restricted"
"Barbados"," 2017","Yes","Yes","Not restricted"
"Belarus"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Belgium"," 2017","Yes","Yes","Prohibited under 3 /8 yrs"
"Belize"," 2017","Yes","Yes","Not restricted"
"Benin"," 2017","Yes","Yes","Not restricted"
"Bhutan"," 2017","Yes","Yes","Not restricted"
"Bolivia (Plurinational State of)"," 2017","Yes","Yes","Not restricted"
"Bosnia and Herzegovina"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Botswana"," 2017","Yes","Yes","Not restricted"
"Brazil"," 2017","Yes","Yes","Prohibited under 7 yrs"
"Bulgaria"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Burkina Faso"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Burundi"," 2017","Yes","Yes","Not restricted"
"Cabo Verde"," 2017","Yes","Yes","Prohibited under 7 yrs"
"Cambodia"," 2017","Yes","Yes","Not restricted"
"Cameroon"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Canada"," 2017","Yes","Yes","Not restricted"
"Central African Republic"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Chad"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Chile"," 2017","Yes","Yes","Not restricted"
"China"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Colombia"," 2017","Yes","Yes","Not restricted"
"Comoros"," 2017","—","—","Not restricted"
"Congo"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Cook Islands"," 2017","Yes","Yes","Not restricted"
"Costa Rica"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Côte d'Ivoire"," 2017","Yes","Yes","Not restricted"
"Croatia"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Cuba"," 2017","Yes","Yes","Prohibited under 7 yrs"
"Cyprus"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Czechia"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Democratic Republic of the Congo"," 2017","Yes","Yes","Not restricted"
"Denmark"," 2017","Yes","Yes","Prohibited under 5 yrs / 135 cm"
"Dominica"," 2017","—","—","Not restricted"
"Dominican Republic"," 2017","Yes","Yes","Prohibited under 8 yrs"
"Ecuador"," 2017","Yes","Yes","Prohibited under 7 yrs"
"Egypt"," 2017","Yes","Yes","Not restricted"
"El Salvador"," 2017","Yes","Yes","Not restricted"
"Equatorial Guinea"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Eritrea"," 2017","Yes","Yes","Not restricted"
"Estonia"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Eswatini"," 2017","Yes","Yes","Not restricted"
"Ethiopia"," 2017","Yes","Yes","Not restricted"
"Fiji"," 2017","Yes","Yes","Prohibited under 8 yrs"
"Finland"," 2017","Yes","Yes","Not restricted"
"France"," 2017","Yes","Yes","Not restricted"
"Gabon"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Gambia"," 2017","Yes","Yes","Not restricted"
"Georgia"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Germany"," 2017","Yes","Yes","Not restricted"
"Ghana"," 2017","Yes","Yes","Not restricted"
"Greece"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Grenada"," 2017","Yes","Yes","Not restricted"
"Guatemala"," 2017","Yes","Yes","Not restricted"
"Guinea"," 2017","Yes","Yes","Not restricted"
"Guinea-Bissau"," 2017","Yes","Yes","Prohibited under 6 yrs"
"Guyana"," 2017","—","—","Not restricted"
"Honduras"," 2017","Yes","Yes","Not restricted"
"Hungary"," 2017","Yes","Yes","Not restricted"
"Iceland"," 2017","Yes","Yes","Not restricted"
"India"," 2017","Yes","Yes","Not restricted"
"Indonesia"," 2017","Yes","Yes","Not restricted"
"Iran (Islamic Republic of)"," 2017","Yes","Yes","Not restricted"
"Iraq"," 2017","Yes","No","Not restricted"
"Ireland"," 2017","Yes","Yes","Not restricted"
"Israel"," 2017","Yes","Yes","Not restricted"
"Italy"," 2017","Yes","Yes","Prohibited under 5 yrs"
"Jamaica"," 2017","Yes","Yes","Not restricted"
"Japan"," 2017","Yes","Yes","Not restricted"
"Jordan"," 2017","Yes","Yes","Not restricted"
"Kazakhstan"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Kenya"," 2017","Yes","Yes","Not restricted"
"Kiribati"," 2017","Yes","Yes","Not restricted"
"Kuwait"," 2017","Yes","Yes","Not restricted"
"Kyrgyzstan"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Lao People's Democratic Republic"," 2017","Yes","Yes","Not restricted"
"Latvia"," 2017","Yes","Yes","Prohibited under 150 cm"
"Lebanon"," 2017","Yes","Yes","Prohibited under 10 yrs"
"Lesotho"," 2017","Yes","Yes","Not restricted"
"Liberia"," 2017","Yes","Yes","Prohibited under 13 yrs"
"Libya"," 2017","No","No","Not restricted"
"Lithuania"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Luxembourg"," 2017","Yes","Yes","Prohibited under 12 yrs"
"Madagascar"," 2017","Yes","Yes","Not restricted"
"Malawi"," 2017","Yes","Yes","Not restricted"
