Country/Area,Population numbers for 2016a,GNI per capita for 2016 in US dollarsb,Income levelc,Reported number of road traffic deaths,death estimate,Estimated road traffic death rate per 100 000 populationd ,Drivers/ Passengers of 4-wheeled vehicles,Drivers/Passengers of 2- or 3- wheelers,Cyclists,Pedestrians,Other or unspecified users
Afghanistan,34656032,580,Low,1565,5230,15.1,, , , , 
Albania,2926348,4250,Middle,269,399,13.6,39.4,11.9,7.8,38.7,2.2
Angola,28813464,3440,Middle,2845,6797,23.6,59.5, , ,40.5,0
Antigua and Barbuda,100963,13400,High,8,8,7.9,62.5,0,12.5,25,0
Argentina,43847432,11960,Middle,5530,6119,14,47.2,22.2,2.4,8.2,20
Armenia,2924816,3760,Middle,267,499,17.1,59.6,1.5,0.4,34.8,3.7
Australia,24125848,54420,High,1296,1351,5.6,60.9,19.3,2.2,14,3.5
Austria,8712137,45230,High,432,452,5.2,43.8,22,11.1,16.9,6.3
Azerbaijan,9725376,4760,Middle,759,845,8.7,51.8,0.9,0.9,42,4.3
Bangladesh,162951552,1330,Middle,2376,24954,15.3,, , , , 
Barbados,284996,14830,High,9,16,5.6,33.3,33.3,0,22.2,11.1
Belarus,9480042,5600,Middle,588,841,8.9,48.5, ,9.2,41.3,1
Belgium,11358379,41860,High,637,657,5.8,57.1,14.4,11.1,12.2,5
Belize,366954,4410,Middle,101,104,28.3,18.8,19.8,11.9,24.8,24.8
Benin,10872298,820,Low,637,2986,27.5,16.8,56.5,0.8,16.8,9.1
Bhutan,797765,2510,Middle,125,139,17.4,, , , , 
Bolivia (Plurinational State of),10887882,3070,Middle,1259,1687,15.5,60.8,19.7, ,2.5,17.1
Bosnia and Herzegovina,3516816,4880,Middle,318,552,15.7,,,,,
Botswana,2250260,6610,Middle,450,535,23.8,63.1,0,2,24.7,10.2
Brazil,207652864,8840,Middle,38651,41007,19.7,23.2,31.4,3.4,18.1,24
Bulgaria,7131494,7470,Middle,708,730,10.2,63.8,7.8,4.9,16.7,6.8
Burkina Faso,18646432,640,Low,878,5686,30.5,, , , , 
Burundi,10524117,280,Low,112,3651,34.7,, , , , 
Cabo Verde,539560,2970,Middle,41,135,25,, , , , 
Cambodia,15762370,1140,Middle,1852,2803,17.8,6.2,73.5,2.3,9.6,8.4
Cameroon,23439188,1200,Middle,1879,7066,30.1,, , , , 
Canada,36289824,43660,High,1858,2118,5.8,64.3,10.8,2.5,15.2,7.2
Central African Republic,4594621,370,Low,193,1546,33.6,, , , , 
Chad,14452543,720,Low,1122,3990,27.6,, , , , 
Chile,17909754,13530,High,1675,2245,12.5,42,8.7,5.7,36,7.7
China,1411415375,8260,Middle,58022,256180,18.2,, , , , 
Colombia,48653420,6320,Middle,7158,8987,18.5,8.4,52.5,5.3,26,7.8
Comoros,795601,760,Low,23,211,26.5,65.2,17.4,0,17.4,0
Congo,5125821,1710,Middle,308,1405,27.4,, , , , 
Cook Islands,17379,…,High,5,3,17.3,20,80,0,0,0
Costa Rica,4857274,10840,Middle,795,812,16.7,24,40,10.4,24.7,0.9
Côte d’Ivoire,23695920,1520,Middle,991,5582,23.6,11.1,35,0.3,40.2,13.4
Croatia,4213265,12110,Middle,307,340,8.1,48.2,16,8.8,21.8,5.2
Cuba,11475982,6570g,Middle,750,975,8.5,10.1,15.6,9.9,33.2,31.2
Cyprus,1170125,23680,High,46,60,5.1,34.8,21.7,4.3,30.4,8.7
Czechia,10610947,17570,High,611,630,5.9,53.7,10.3,8.7,21.3,6.1
Democratic Republic of the Congo,78736152,420,Low,385,26529,33.7,36.1,11.7,0,51.9,0.3
Denmark,5711870,56730,High,211,227,4,48.3,16.1,14.7,17.1,3.8
