"","","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards"
"Country","Year"," Seat-belts"," Seat-belt anchorages"," Frontal impact"," Side impact"," Electronic stability control"," Pedestrian protection"," Child seats"," Motorcycle"
"Afghanistan"," 2016","No","No","No","No","No","No","No","No"
"Albania"," 2016","No","No","No","No","No","No","No","No"
"Angola"," 2016","No","No","No","No","No","No","No","No"
"Antigua and Barbuda"," 2016","No","No","No","No","No","No","No","No"
"Argentina"," 2016","Yes","Yes","Yes","Yes","No","No","No","No"
"Armenia"," 2016","No","No","No","No","No","No","No","No"
"Australia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Austria"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Azerbaijan"," 2016","No","No","No","No","No","No","No","No"
"Bangladesh"," 2016","No","No","No","No","No","No","No","No"
"Barbados"," 2016","No","No","No","No","No","No","No","No"
"Belarus"," 2016","No","No","No","No","No","No","No","No"
"Belgium"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Belize"," 2016","No","No","No","No","No","No","No","No"
"Benin"," 2016","No","No","No","No","No","No","No","No"
"Bhutan"," 2016","No","No","No","No","No","No","No","No"
"Bolivia (Plurinational State of)"," 2016","No","No","No","No","No","No","No","No"
"Bosnia and Herzegovina"," 2016","No","No","No","No","No","No","No","No"
"Botswana"," 2016","No","No","No","No","No","No","No","No"
"Brazil"," 2016","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Bulgaria"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Burkina Faso"," 2016","No","No","No","No","No","No","No","No"
"Burundi"," 2016","No","No","No","No","No","No","No","No"
"Cabo Verde"," 2016","No","No","No","No","No","No","No","No"
"Cambodia"," 2016","No","No","No","No","No","No","No","No"
"Cameroon"," 2016","No","No","No","No","No","No","No","No"
"Canada"," 2016","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Central African Republic"," 2016","No","No","No","No","No","No","No","No"
"Chad"," 2016","No","No","No","No","No","No","No","No"
"Chile"," 2016","No","No","No","No","No","No","No","No"
"China"," 2016","Yes","Yes","Yes","Yes","No","No","No","No"
"Colombia"," 2016","No","No","No","No","No","No","No","No"
"Comoros"," 2016","No","No","No","No","No","No","No","No"
"Congo"," 2016","No","No","No","No","No","No","No","No"
"Cook Islands"," 2016","No","No","No","No","No","No","No","No"
"Costa Rica"," 2016","No","No","No","No","No","No","No","No"
"Côte d'Ivoire"," 2016","No","No","No","No","No","No","No","No"
"Croatia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cuba"," 2016","No","No","No","No","No","No","No","No"
"Cyprus"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Czechia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Democratic Republic of the Congo"," 2016","No","No","No","No","No","No","No","No"
"Denmark"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dominica"," 2016","No","No","No","No","No","No","No","No"
"Dominican Republic"," 2016","No","No","No","No","No","No","No","No"
"Ecuador"," 2016","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Egypt"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"El Salvador"," 2016","No","No","No","No","No","No","No","No"
"Equatorial Guinea"," 2016","No","No","No","No","No","No","No","No"
"Eritrea"," 2016","No","No","No","No","No","No","No","No"
"Estonia"," 2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Eswatini"," 2016","No","No","No","No","No","No","No","No"
"Ethiopia"," 2016","No","No","No","No","No","No","No","No"
"Fiji"," 2016","No","No","No","No","No","No","No","No"
